Year,Month,Inflation_Factor
2000,Nov,0.669026127
2001,Nov,0.681707266
2002,Nov,0.696694066
2003,Nov,0.708990927
2004,Nov,0.733968927
2005,Nov,0.759331204
2006,Nov,0.774318005
2007,Nov,0.807661713
2008,Nov,0.816300259
2009,Nov,0.831306273
2010,Nov,0.840809441
2011,Nov,0.869349688
2012,Nov,0.88468618
2013,Nov,0.895630387
2014,Nov,0.907473802
2015,Nov,0.912027483
2016,Nov,0.927463888
2017,Nov,0.947892049
2018,Nov,0.968523877
2019,Nov,0.988390994
2020,Nov,1
2021,Nov,1
2000,Dec,0.66801293
2001,Dec,0.678378648
2002,Dec,0.694503098
2003,Dec,0.707556224
2004,Dec,0.730591153
2005,Dec,0.755545659
2006,Dec,0.774741433
2007,Dec,0.806360712
2008,Dec,0.807097829
2009,Dec,0.829061634
2010,Dec,0.841462104
2011,Dec,0.866389736
2012,Dec,0.881473775
2013,Dec,0.89471118
2014,Dec,0.90147961
2015,Dec,0.908056082
2016,Dec,0.926894815
2017,Dec,0.946443791
2018,Dec,0.964522371
2019,Dec,0.986562958
2020,Dec,1
2021,Dec,1
