,film,revenue,release_date
148,Austin Powers: International Man of Mystery,67683989,1997-05-02
149,Wag the Dog,64256513,1997-12-25
150,Kiss the Girls,60527873,1997-09-29
151,Selena,60000000,1997-03-21
152,Jungle 2 Jungle,59927618,1997-03-04
153,Mortal Kombat: Annihilation,51376861,1997-11-11
154,Breakdown,50159144,1997-05-02
155,Absolute Power,50068310,1997-02-14
156,G.I. Jane,48169156,1997-08-19
157,Double Team,48138337,1997-04-04
158,The Rainmaker,45916769,1997-11-18
159,Cop Land,44862187,1997-08-15
160,Nothing to Lose,44480039,1997-07-18
161,Picture Perfect,44332015,1997-08-01
162,Amistad,44229441,1997-12-10
163,The Edge,43312294,1997-09-06
164,Boogie Nights,43101594,1997-10-07
165,Fools Rush In,42000000,1997-02-14
166,Private Parts,41230799,1997-03-07
167,Jackie Brown,39673162,1997-04-10
168,Vegas Vacation,36400360,1997-02-13
169,Fathers' Day,35598376,1997-05-09
170,Addicted to Love,34673095,1997-05-23
171,The Relic,33956608,1997-01-10
172,Metro,31987563,1997-01-16
173,For Richer or Poorer,31611225,1997-12-11
174,Grosse Pointe Blank,31070412,1997-04-11
175,Would I Lie to You?,29456000,1997-04-01
176,Romy and Michele's High School Reunion,29235353,1997-04-25
177,Event Horizon,26673242,1997-08-15
178,An American Werewolf in Paris,26570463,1997-05-29
179,Murder at 1600,25804707,1997-04-18
180,Mimic,25480490,1997-08-22
181,Midnight in the Garden of Good and Evil,25105255,1997-11-21
182,Good Burger,23700000,1997-07-25
183,Air Bud,23144499,1997-08-01
184,Red Corner,22420000,1997-10-30
185,Booty Call,20060051,1997-02-26
186,Neon Genesis Evangelion: The End of Evangelion,20000000,1997-07-19
187,The Apostle,19868354,1997-12-19
188,Gone Fishin',19745922,1997-05-30
189,Mr. Nice Guy,18814720,1997-01-31
190,Turbo: A Power Rangers Movie,17979739,1997-03-27
191,The Postman,17626234,1997-12-25
192,The Boxer,16534578,1997-12-31
193,Fire Down Below,16228448,1997-09-05
194,Wishmaster,15719109,1997-09-19
195,FairyTale: A True Story,14000000,1997-10-24
196,How to Be a Player,13960203,1997-08-06
197,The Man Who Knew Too Little,13801755,1997-11-14
198,Rosewood,13130349,1997-02-21
199,Love Jones,12782749,1997-03-14
200,Armageddon,553799566,1998-07-01
201,Saving Private Ryan,481840909,1998-07-24
202,Godzilla,379014294,1998-05-20
203,There's Something About Mary,369884651,1998-07-15
204,A Bug's Life,363258859,1998-11-25
205,Deep Impact,349464664,1998-05-08
206,Mulan,304320254,1998-06-18
207,Doctor Dolittle,294456605,1998-06-26
208,Shakespeare in Love,289317794,1998-01-29
209,Lethal Weapon 4,285444603,1998-07-10
210,The Truman Show,264118201,1998-06-04
211,You've Got Mail,250821495,1998-02-26
212,Enemy of the State,250649836,1998-11-20
213,The Mask of Zorro,250288523,1998-07-16
214,Rush Hour,244721064,1998-09-18
215,The Prince of Egypt,218613188,1998-12-16
216,Patch Adams,202292902,1998-12-25
217,City of Angels,198685114,1998-04-10
218,The X Files,189198313,1998-06-19
219,The Horse Whisperer,186883563,1998-05-14
220,The Waterboy,185991646,1998-11-06
221,The Man in the Iron Mask,182968902,1998-03-12
222,Antz,171757863,1998-10-02
223,Six Days Seven Nights,164839294,1998-06-12
